source,run,N_rpm,omega_rad_s,torque_Nm,T_K,rho_kgm3,mu_Pas,P_w_W,P_w_reported_W,Re_Omega,Cp,Pi_gap,Pi_confinement,Pi_aspect_axial,R_m,R_chamber_m,gap_radial_m,h_rotor_m,P_w_pct_diff
Gorland1970,gap_0.0565in,6809,713.0368126097634,0.353529529941,300.3722222222222,1.153515941324319,1.8476769764548863e-05,252.07956919255855,251.73,1033902.1530502463,0.01466504335992557,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.13886671932569095
Gorland1970,gap_0.0565in,7201,754.08695661667,0.39431705321,300.92777777777775,1.1513863865375962,1.8503029496415146e-05,297.34934659718243,297.33,1089857.23601107,0.014651657980969906,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006506776034186938
Gorland1970,gap_0.0565in,7605,796.3937376850125,0.436799348914,301.4833333333333,1.1492646801846789,1.852926562241358e-05,347.8642661000004,347.84,1147254.1126301195,0.014578451968789855,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006976224701136107
Gorland1970,gap_0.0565in,7964,833.9881297729704,0.47227658521999993,302.59444444444443,1.1450446398660097,1.858166726428959e-05,393.87306604319264,393.85,1193623.9996702268,0.014426448121128387,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.00585655533645143
Gorland1970,gap_0.0565in,8650,905.8258817850569,0.552834768297,304.26111111111106,1.1387723702153116,1.8660093975686832e-05,500.77204147406763,500.74,1283919.3797914167,0.01439375601412175,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006398824553186401
Gorland1970,gap_0.0565in,9028,945.4099492202884,0.601418244767,305.3722222222222,1.1346288936922508,1.8712261880562167e-05,568.5867922453244,568.55,1331427.9031456304,0.014427383758817703,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006471241812413568
Gorland1970,gap_0.0565in,9519,996.8273489840414,0.6603963255049999,307.0388888888889,1.128469907894077,1.879033990146568e-05,658.3011184319512,658.26,1390417.4997432758,0.014327814055538414,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006246533581136688
Gorland1970,gap_0.0565in,9994,1046.5692326658798,0.723554844916,308.15,1.1244009302753342,1.8842276613563408e-05,757.2502388354177,757.2,1450526.6694958783,0.014292871662185316,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006634817144432728
Gorland1970,gap_0.0565in,10569,1106.7830918596842,0.795526180989,310.3722222222222,1.1163503749902797,1.8945875115873734e-05,880.4749262503321,880.42,1514670.9712153045,0.014152529970997215,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.00623864182233332
Gorland1970,gap_0.0565in,11154,1168.044148604685,0.8769882426979999,312.59444444444443,1.1084142818984832,1.9049109699604303e-05,1024.3609852785041,1024.3,1578543.7474425456,0.014108417483019388,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.00595384931213284
